,tau-,tau+,dn-,dn+,headway-,headway+,speed-,speed+,length-,length+,criticalGap-,criticalGap+
0,1.9510170195101655,-2.532171025321708,14.902449149024497,-39.559983395599836,3.486924034869237,-7.804068078040679,-6.268161062681608,1.7434620174346274,0.12453300124534064,-31.465338314653383,-14.611872146118724,4.607721046077214
1,4.4937736870600835,-2.621825669183256,7.2820790471034,-11.818805765271106,4.168922577152143,-5.284831846259442,-3.7357877639415333,-0.3706245710363784,0.48727666486193366,-10.446122168840086,-16.107200866269633,3.6787920384351365
2,6.781056966369253,-6.904598490048048,11.997254632807124,-20.164722031571724,3.6238846945778924,-14.426904598490045,0.19217570350034394,-4.269045984900483,0.26080988332189114,-10.569663692518883,-9.471516815374056,6.1084420041180545
3,-1.5301275755802515,1.08191043020247,-0.029462426748511877,-2.1706691194210346,4.964258806608945,-17.785023204390672,-6.817498186557042,-12.682697249186523,-1.9470327581293914,0.6775129765005512,-17.274924900908704,1.3426459870387537
4,-6.140453366441143,10.46581181243329,-0.5157321872107088,5.092790120180895,6.265573316613975,-7.525275837964647,5.7008424261681085,-13.047600662700477,3.7192210242808166,-0.47410804818027785,-29.03749901851072,36.014989084216694
5,9.928229665071767,-12.081339712918663,0.8373205741626828,-4.66507177033493,-0.9569377990430588,-8.971291866028707,-33.253588516746404,16.0287081339713,-0.7177033492822941,-2.870813397129189,44.258373205741634,-29.784688995215316
6,10.22592152199761,-11.652794292508926,0.9512485136741939,-4.9940546967895445,-1.307966706302023,-7.728894173602858,-33.41260404280619,17.47919143876336,-0.23781212841856117,-2.8537455410225947,45.18430439952438,-30.083234244946492
7,11.071849234393401,-12.014134275618382,0.8244994110718525,-4.8292108362779755,-0.7067137809187254,-3.7691401648998815,-32.273262661955236,20.14134275618374,-0.2355712603062418,-2.4734982332155453,46.64310954063604,-30.270906949352177
8,19.76631114475441,-5.216256975504986,-25.065608101651293,46.45075209644457,-24.39877925386817,180.2901772309504,20.50694558056178,28.305617023121393,40.893972395703166,-26.325697380469002,30.424020662952778,-9.61054460134381
9,8.118071458649112,-7.109664572782607,1.026489048576933,-2.815527790002025,-15.963251214112711,25.059221570354595,-41.356099842012625,57.45121323789721,0.012004539566341193,-1.501185961645662,24.878257567707905,-10.358867645512104
10,1.718409769442662,-5.936032133326226,-1.4476687296785844,-4.590668318658559,-11.975674798313975,9.533645490774148,-11.328432656675291,11.330517727971124,-2.4121550554069646,-3.337542851217022,4.217648198635723,-3.6198459339980116
11,11.805555555555562,-11.921296296296298,0.9424603174603202,-4.861111111111119,-2.314814814814819,1.5046296296296304,-33.333333333333336,22.10648148148147,0.0,-2.8935185185185266,47.337962962962955,-30.32407407407408
